-1.89,8.86,28.81,105.32,33.09,49.6
-1.68,8.85,30.16,104.3,34.65,48.99
-1.31,8.74,31.17,103.77,35.57,48.84
-1.41,8.63,31.88,103.67,35.99,48.68
-1.69,8.93,32.33,103.65,36.2,48.23
-1.97,9.81,32.42,103.61,35.98,47.55
-2.37,10.38,32.1,103.33,35.86,46.74
-3.01,10.88,31.72,102.89,35.67,45.96
-3.82,11.47,31.55,102.08,35.84,45.09
-4.1,11.78,31.56,101.7,36.22,44.61
-4.35,11.93,31.67,101.8,36.33,44.34
-4.08,11.89,31.75,102.02,36.29,44.27
-4.06,11.78,31.74,102.3,36.42,44.07
-4.06,11.83,31.82,102.25,36.7,43.65
-3.96,11.88,31.9,101.9,37.03,43.07
-3.8,11.95,32.03,101.62,37.15,42.65
-3.7,12.08,32.19,101.68,36.81,42.38
-3.59,12.09,32.26,101.76,35.48,42.11
-3.75,11.92,32.24,102.74,31.96,41.27
-4.05,11.35,32.13,102.07,25.77,40.69
-4.65,10.35,32.11,99.62,15.79,39.77
-5.39,8.7,32.13,103.61,4.01,39.43
-5.29,5.77,32.2,103.99,-2.38,41.13
-5.53,4.04,32.9,101.27,-1.33,41.31
-5.78,3.22,33.55,99.42,4.62,40.51
-5.33,3.7,33.87,96.54,14.03,40.87
-5.09,5.24,33.56,95.7,23.98,40.88
-4.53,7.12,33.13,94.77,34.74,40.3
-3.98,8.88,32.92,93.63,43.9,39.62
-3.43,10.35,32.94,93.92,49.19,39.21
-3.06,11.3,32.95,94.57,46.42,39.41
-3.01,11.69,32.93,95.32,35.4,40.02
-3.41,11.36,32.92,98.64,18.12,40.75
-3.94,9.98,33.11,107.01,3.37,41.75
-3.81,7.62,33.46,102.97,3.41,41.54
-4.09,6.19,33.86,99.57,11.05,39.24
-4.38,6.2,34.23,96.42,19.92,38.59
-4.53,7.22,34.35,96.54,27.22,38.87
-4.51,8.62,33.98,97.71,31.86,38.51
-4.52,10.11,33.6,98.35,34.27,38.58
-4.53,11.51,33.45,99.3,34.83,39.08
-4.43,12.34,33.52,100.15,34.81,39.89
-4.28,12.7,33.82,100.59,34.65,40.44
-4.21,12.76,34.19,100.21,33.95,40.21
-4.03,12.7,34.47,100.41,33.45,40.27
-3.92,12.61,34.55,100.86,33.39,40.61
-3.84,12.53,34.57,101.12,33.5,40.93
-3.71,12.45,34.56,101.43,33.63,41.19
-3.53,12.49,34.54,101.54,33.7,41.25
-3.35,12.47,34.37,101.62,33.55,41.16
