-56.83,-68.93,-126.73,122.14,21.36,21.1
-56.75,-68.85,-126.84,122.3,21.3,21.2
-56.66,-68.84,-127.05,122.23,21.17,21.26
-56.65,-68.87,-127.07,122.27,21.09,21.23
-56.72,-68.89,-127.05,122.05,21.17,21.18
-56.78,-68.87,-127.07,122.07,21.22,21.21
-56.79,-68.88,-127.04,122.04,21.29,21.26
-56.87,-68.88,-126.96,122.05,21.32,21.31
-56.86,-68.83,-126.86,122.05,21.3,21.37
-56.9,-68.84,-126.78,122.1,21.26,21.48
-56.92,-68.86,-126.71,122.18,21.22,21.58
-56.9,-68.94,-126.66,122.18,21.24,21.67
-56.93,-68.97,-126.54,122.27,21.3,21.77
-56.84,-68.92,-126.66,122.47,21.2,22
-56.84,-68.96,-126.74,122.65,21.03,21.99
-56.85,-68.94,-126.76,122.67,20.94,21.73
-56.79,-69.02,-126.84,122.19,20.55,20.52
-56.5,-69.16,-126.98,120.75,20.15,18.23
-55.91,-69.32,-127.21,121.3,20.89,15.92
-55.18,-69.39,-127.59,126.75,24.81,13.71
-55.01,-69.37,-127.64,128.49,28.1,13.52
-55.12,-69.39,-127.01,131.99,33.88,15.13
-55.27,-69.31,-126.47,147.22,38.39,27.64
-56.31,-68.95,-125.8,172.21,36.66,47.68
-56.92,-68.55,-125.32,-161.2,28.23,64.45
-56.91,-68.06,-126.1,-145.91,17.31,74
-56.83,-67.83,-127.37,-138.89,4.7,77.03
-56.49,-68.03,-128.16,-134.86,-9.14,75.78
-55.01,-69.03,-129.52,-132.75,-17.33,74.55
-53.03,-70.13,-131.29,-132.75,-20.8,72.72
-51.11,-71.08,-132.66,-134.23,-21.52,72.12
-49.3,-71.53,-133.99,-135.9,-19.73,72.47
-48.74,-71.88,-134.46,-140.07,-16.19,72.66
-48.91,-72.03,-133.93,-146.5,-13.55,71.97
-49.91,-71.55,-133.38,-164.83,-9.37,69.67
-51.55,-71.02,-132.29,167.02,-3.89,65.98
-52.76,-70.62,-130.91,144.61,3.44,56.71
-53.48,-70.04,-130.25,127.43,8.41,46.71
-54.66,-69.56,-129.24,112.71,11.75,37.68
-55.77,-69.18,-127.95,101.88,13.23,28.11
-56.19,-69.08,-127.07,93.39,13.29,19.67
-55.73,-69.18,-127.2,88.71,12.65,14.24
-55.38,-69.43,-127.6,89.03,12.13,11.09
-54.72,-69.62,-128.13,93.18,13.29,10.07
-54.27,-69.74,-128.78,104.79,16.88,9.74
-54.26,-69.8,-128.71,118.02,23.01,11.38
-54.57,-69.67,-128.3,131.32,30.39,21.8
-55.4,-69.43,-127.65,150.1,35.25,36.88
-56.05,-69.18,-127.28,173.76,33.79,54.54
-55.87,-69.18,-128,-164.32,21.91,68.78
-55.57,-69.19,-129.8,-156.76,5.53,73.09
-54.34,-69.67,-131.99,-153.73,-11.84,72.78
-52.17,-70.67,-134.23,-151.01,-18.84,71.03
