-59.79,-64.7,-121.5,50.13,67.4,21.37
-60.22,-63.95,-121.75,50.14,67.34,21.17
-59.23,-63.44,-122.85,50.1,67.37,20.98
-58.31,-63.53,-123.82,50.11,67.38,20.83
-57.6,-63.98,-124.39,50.14,67.31,20.64
-57.69,-64.07,-124.26,50.39,67.3,20.75
-57.9,-64.39,-123.96,50.31,67.31,20.48
-57.84,-64.66,-123.84,50.38,67.32,20.45
-57.91,-64.89,-123.75,50.43,67.35,20.42
-58.12,-65.1,-123.57,50.52,67.25,20.36
-58.32,-65.31,-123.55,50.55,67.19,20.31
-58.42,-65.42,-123.51,50.6,67.19,20.17
-58.38,-65.42,-123.55,50.71,67.05,20.08
-58.52,-65.35,-123.5,50.86,66.85,20.11
-58.6,-65.35,-123.3,50.85,66.8,20.01
-58.67,-65.41,-123.12,50.59,66.87,19.75
-58.8,-65.45,-122.93,51.09,66.91,20.16
-58.81,-65.48,-122.88,51.11,66.71,19.99
-58.84,-65.54,-122.93,51.24,66.56,20.16
-58.91,-65.54,-123,51.79,66.47,20.57
-58.91,-65.55,-123,52.08,66.18,20.76
-58.87,-65.54,-123,52.51,66.01,21.12
-58.76,-65.57,-123.09,52.39,66.12,21.3
-58.68,-65.58,-123.05,51.58,66.23,20.8
-58.67,-65.59,-123,51.39,66.51,21.12
-58.73,-65.63,-122.9,51.83,66.63,21.44
-58.76,-65.68,-122.71,52.13,66.75,21.85
-58.83,-65.77,-122.59,52.69,66.8,22.37
-58.79,-65.82,-122.6,55,66.63,24.47
-58.73,-65.87,-122.77,59.88,65.02,26.04
-58.95,-65.97,-122.71,74.28,59.37,27.54
-59.3,-65.91,-122.78,97.01,53.44,30.64
-59.69,-65.95,-122.87,121.08,48.39,38.2
-59.58,-65.8,-123.64,141.06,40.29,46.4
-59.71,-65.88,-124.45,156.16,29.78,51.68
-59.79,-66.15,-124.66,159.84,20.5,53.06
-59.01,-66.53,-125.08,162.18,14.28,51.96
-58.29,-66.83,-125.64,164.75,10.02,51.52
-58.07,-67.01,-125.71,166.64,6.65,50.84
-58.29,-66.99,-125.09,165.64,3.53,50.12
-58.65,-66.68,-124.28,166.16,1.5,48.88
-59.04,-66.6,-123.43,164.91,-1.23,46.9
-59.32,-66.73,-122.62,165.19,-5.19,43.38
-59.23,-66.7,-122.19,167.52,-10.4,37.98
-58.9,-66.35,-122.15,169.06,-15.82,33.22
-59.04,-65.71,-122.28,171.21,-18.18,29.93
-59.53,-65.49,-122.39,171.27,-18.87,28.99
-59.41,-65.86,-122.17,171.61,-18.75,28.71
-58.86,-66.31,-122.72,171.06,-18.73,28.41
-58.66,-66.42,-123.37,170.65,-18.11,29.13
-59.22,-66.45,-123.02,171.99,-16.12,29.46
-59.99,-66.93,-122.28,165.57,-16.89,21.92
-58.56,-67.4,-122.13,157.31,-19.18,14.6
-56.81,-67.29,-122.83,162,-17.51,16.09
-58.15,-65.87,-124.05,169.84,-14.43,24.33
-61.02,-65.61,-123.1,173.78,-11.93,27.26
-60.86,-66.22,-120.81,166.37,-14.55,20.29
-58.47,-66.93,-120.28,160.89,-17.27,14.37
-56.57,-66.78,-123.14,163.99,-15.88,18.32
-59.03,-66.21,-124.69,170.95,-13.28,26.01
-60.7,-66.28,-123.36,170.54,-12.9,25.68
-60.37,-67.06,-120.95,164.07,-15.59,19.34
-58.36,-67.51,-121.48,161.18,-16.42,17.33
-57.15,-67.15,-124.43,165.61,-14.25,21.78
-59.18,-66.95,-124.13,167.38,-13.67,22.5
-59.93,-67.55,-121.68,161.28,-15.91,17.3
-58.4,-67.48,-120.56,159.17,-16.23,16.1
-57.28,-66.45,-122.74,162.16,-13.92,21.88
-60.17,-66.18,-123.37,166.87,-11.4,26.55
-61.24,-66.57,-121.96,162.11,-13.08,23.78
-59.9,-67.13,-119.98,158.06,-16.13,17.93
-58.29,-67.24,-120.59,157.21,-16.94,17.52
-59.25,-66.68,-122.19,162.69,-15.38,21.1
-61.49,-66.61,-121.83,161.99,-16.23,19.82
-61.38,-67.28,-120.01,158.3,-18.06,15.6
-59.24,-67.23,-120.23,158.76,-17.57,16.48
-59.34,-66.71,-122.26,162.06,-16.05,20.14
